,mostRelevantField,mostRelevantUni,highestDegree
801,Business,BU,Bachelors
802,Biology,Other,PhD
803,Other,Other,Masters
804,Other,MIT,PhD
805,Other,Other,Masters
806,Other,Other,Bachelors
807,Other,Other,Bachelors
808,AI,MIT,Masters
809,Chemistry,MIT,Masters
810,CS,NYU,Bachelors
811,CS,Northeastern,Masters
812,Other,Other,Masters
813,Other,Other,Masters
814,Other,Northeastern,Masters
815,Electrical Eng,Other,Bachelors
816,Other,Other,Masters
817,Other,Northeastern,Masters
818,Other,BU,Bachelors
819,Other,Northeastern,Masters
820,Other,Other,Masters
821,Business,Other,Other
822,Biology,Other,Postdoc
823,Biology,Other,Bachelors
824,Other,Other,Bachelors
825,Policital Sci,MIT,PhD
826,CS,NYU,Bachelors
827,Other,Other,Bachelors
828,Other,Other,PhD
829,Other,WPI,Masters
830,Biology,Other,Postdoc
831,Other,Other,Masters
832,Biology,Other,Bachelors
833,Business,NYU,Masters
834,AI,NYU,Bachelors
835,Data Science,MIT,Masters
836,Data Science,MIT,Masters
837,CS,UMass Amherst,Bachelors
838,CS,MIT,PhD
839,Mechanical Eng,MIT,Bachelors
840,Business,MIT,Masters
841,Other,Northeastern,Masters
842,Other,MIT,Masters
843,AI,MIT,Postdoc
844,Mechanical Eng,MIT,PhD
845,Biology,Other,PhD
846,CS,MIT,PhD
847,Chemistry,Other,Bachelors
848,CS,Northeastern,Masters
849,Biology,Other,PhD
850,Other,Other,Masters
851,Business,Other,Masters
852,Mechanical Eng,Other,Masters
853,Electrical Eng,UMass Boston,Bachelors
854,Mechanical Eng,WPI,Bachelors
855,AI,Northeastern,Bachelors
856,CS,Other,PhD
857,Physics,Other,Bachelors
858,Other,Other,Bachelors
859,Other,MIT,Bachelors
860,Other,Other,Bachelors
861,Biology,MIT,Bachelors
862,CS,Other,Bachelors
863,Chemistry,MIT,PhD
864,Chemistry,MIT,PhD
865,Chemistry,MIT,PhD
866,Physics,MIT,Postdoc
867,Physics,MIT,Bachelors
868,Other,MIT,PhD
869,Biology,Other,Postdoc
870,Other,Other,Bachelors
871,CS,Other,Masters
872,Data Science,Other,Masters
873,Business,Other,Bachelors
874,Other,Other,Bachelors
875,Mechanical Eng,MIT,PhD
876,Business,MIT,MBA
877,Physics,Northeastern,PhD
878,Other,Other,Bachelors
879,CS,Northeastern,Masters
880,Biology,MIT,Bachelors
881,Finance,Other,Bachelors
882,Other,Other,Bachelors
883,Business,Brandeis,MBA
884,AI,Dartmouth,Bachelors
885,Other,Other,Bachelors
886,Other,Dartmouth,Bachelors
887,AI,Other,Bachelors
888,Mechanical Eng,Other,Bachelors
889,Other,NYU,Masters
890,AI,NYU,Masters
891,Physics,Other,PhD
892,Business,MIT,Masters
893,Chemistry,MIT,PhD
894,CS,Northeastern,Masters
895,Data Science,Northeastern,Masters
896,CS,Northeastern,Masters
897,Biology,Other,Bachelors
898,Finance,Other,Bachelors
899,Physics,MIT,Postdoc
900,Other,BU,Bachelors
901,Other,MIT,Masters
902,Other,Other,Masters
903,Biology,MIT,Masters
904,Biology,MIT,Postdoc
905,Business,Other,Masters
906,Other,Other,Masters
907,Other,WPI,Masters
908,Industrial Eng,Northeastern,Masters
909,Other,MIT,Masters
910,Finance,Other,PhD
911,Other,Other,Bachelors
912,CS,MIT,Postdoc
913,Data Science,Northeastern,Masters
914,CS,MIT,Masters
915,Business,Other,Bachelors
916,Other,NYU,Bachelors
917,Business,MIT,MBA
918,Mechanical Eng,Other,Postdoc
919,Other,Northeastern,Other
920,Other,MIT,Postdoc
921,CS,NYU,Masters
922,Data Science,Tufts,Other
923,Biology,Other,Bachelors
924,Other,MIT,Bachelors
925,CS,MIT,Bachelors
926,Mechanical Eng,BU,Masters
927,Industrial Eng,Northeastern,Masters
928,Other,WPI,Masters
929,CS,Northeastern,Masters
930,Other,MIT,Masters
931,AI,MIT,Bachelors
932,Other,Tufts,Other
933,Biology,Tufts,MD
934,Other,Other,Masters
935,Other,Other,Bachelors
936,Other,Northeastern,Masters
937,Other,BU,Masters
938,Aero,MIT,Other
939,CS,MIT,Other
940,Industrial Eng,MIT,Other
941,Mechanical Eng,Other,Masters
942,Business,Boston College,Postdoc
943,Data Science,Northeastern,Masters
944,Other,Other,Masters
945,Business,Northeastern,Masters
946,Business,MIT,Masters
947,Other,Other,Masters
948,Finance,Other,Bachelors
949,Materials,MIT,PhD
950,Mechanical Eng,MIT,Masters
951,Business,Other,MBA
952,Other,Other,Bachelors
953,Other,Other,Bachelors
954,Mechanical Eng,Other,Bachelors
955,Business,MIT,MBA
956,Other,NYU,Masters
957,Finance,MIT,Bachelors
958,Other,Other,Other
959,CS,Northeastern,Bachelors
960,Electrical Eng,Other,Bachelors
961,Industrial Eng,Northeastern,Masters
962,Electrical Eng,MIT,Other
963,CS,MIT,Bachelors
964,Mechanical Eng,BU,Bachelors
965,Other,Other,Bachelors
966,CS,Northeastern,Masters
967,Electrical Eng,Other,Bachelors
968,CS,Northeastern,Masters
969,Physics,Other,Bachelors
970,Electrical Eng,Other,Bachelors
971,Electrical Eng,Other,Bachelors
972,Other,MIT,Other
973,Physics,MIT,Postdoc
974,Physics,MIT,Postdoc
975,Electrical Eng,MIT,Masters
976,Other,Other,Bachelors
977,Aero,MIT,PhD
978,Physics,MIT,Postdoc
979,Business,MIT,Masters
980,CS,MIT,Bachelors
981,Electrical Eng,MIT,Bachelors
982,Physics,MIT,Bachelors
983,Biology,MIT,Masters
984,Aero,MIT,Bachelors
985,CS,MIT,Bachelors
986,Other,Other,Masters
987,Aero,MIT,Postdoc
988,CS,MIT,Bachelors
989,Mechanical Eng,MIT,Masters
990,Mechanical Eng,MIT,Bachelors
991,Chemistry,MIT,PhD
992,CS,MIT,Bachelors
993,AI,Other,Bachelors
994,AI,MIT,Bachelors
995,AI,MIT,Bachelors
996,Biology,MIT,Other
997,CS,Other,Bachelors
998,Biology,Other,Masters
999,Business,Dartmouth,MBA
1000,Other,Other,Postdoc
1001,Mechanical Eng,Other,Bachelors
1002,Business,MIT,Masters
1003,Business,MIT,MBA
1004,AI,MIT,PhD
1005,Business,Boston College,MBA
1006,Data Science,MIT,Masters
1007,CS,MIT,Bachelors
1008,Other,Other,Other
1009,Other,Other,Bachelors
1010,CS,Northeastern,Masters
1011,Business,MIT,Bachelors
1012,Business,Other,Bachelors
1013,CS,Northeastern,Bachelors
1014,CS,MIT,Bachelors
1015,Business,Northeastern,Masters
1016,AI,Other,Bachelors
1017,Materials,MIT,Bachelors
1018,Business,Other,Masters
1019,Other,Other,Masters
1020,AI,NYU,Masters
1021,CS,UMass Boston,Bachelors
1022,Other,Other,Other
1023,Other,Other,Bachelors
1024,Other,WPI,Masters
1025,Materials,MIT,PhD
1026,Business,Other,Other
1027,Other,Tufts,Bachelors
1028,Other,Northeastern,Masters
1029,CS,Other,Bachelors
1030,Other,MIT,Bachelors
1031,Finance,MIT,PhD
1032,Business,NYU,Masters
1033,Other,Other,Postdoc
1034,CS,Other,Bachelors
1035,Other,Northeastern,Masters
1036,Biology,Other,Postdoc
1037,Biology,MIT,Postdoc
1038,Electrical Eng,NYU,Masters
1039,Mechanical Eng,MIT,Bachelors
1040,Other,MIT,PhD
1041,CS,MIT,Postdoc
1042,Biology,BU,Bachelors
1043,Biology,BU,Bachelors
1044,Other,MIT,Postdoc
1045,AI,MIT,PhD
1046,Chemistry,MIT,Postdoc
1047,CS,Northeastern,Masters
1048,Other,NYU,Masters
1049,Other,Other,Masters
1050,Business,MIT,MBA
1051,Business,Northeastern,Masters
1052,Other,Other,Masters
1053,Law,Tufts,Masters
1054,Industrial Eng,Northeastern,Masters
1055,CS,Northeastern,Bachelors
1056,CS,Northeastern,Masters
1057,CS,MIT,Bachelors
1058,Biology,Other,PhD
1059,CS,Tufts,Bachelors
1060,AI,MIT,Postdoc
1061,Business,Other,MBA
1062,Law,Other,Other
1063,CS,Northeastern,Masters
1064,CS,BU,Masters
1065,Other,MIT,Postdoc
1066,AI,Other,PhD
1067,Data Science,Northeastern,Masters
1068,Mechanical Eng,NYU,Bachelors
1069,Mechanical Eng,NYU,Bachelors
1070,Other,Other,PhD
1071,CS,NYU,Masters
1072,Data Science,BU,Masters
1073,Physics,MIT,Postdoc
1074,Other,MIT,Masters
1075,Physics,Other,Bachelors
1076,CS,Northeastern,Masters
1077,Business,Northeastern,Masters
1078,Industrial Eng,Northeastern,Masters
1079,AI,Other,Masters
1080,CS,Other,Bachelors
1081,AI,BU,Masters
1082,CS,Northeastern,Bachelors
1083,AI,Tufts,Masters
1084,Business,Other,MBA
1085,Mechanical Eng,Northeastern,Masters
1086,Materials,MIT,Bachelors
1087,CS,Northeastern,Bachelors
1088,CS,NYU,Masters
1089,Other,Other,Masters
1090,Business,MIT,Masters
1091,CS,Northeastern,Masters
1092,Industrial Eng,Northeastern,Masters
1093,Business,Northeastern,Masters
1094,AI,MIT,Bachelors
1095,CS,Northeastern,Masters
1096,Finance,Other,Bachelors
1097,CS,Other,Bachelors
1098,Law,BU,Other
1099,Biology,MIT,Bachelors
1100,Other,Other,Postdoc
1101,Materials,MIT,PhD
1102,Other,Dartmouth,Masters
1103,Biology,Northeastern,Bachelors
1104,Finance,Tufts,Bachelors
1105,CS,Northeastern,Masters
1106,Data Science,Northeastern,Masters
1107,Data Science,Northeastern,Masters
1108,Business,MIT,Masters
1109,Chemistry,Northeastern,Bachelors
1110,CS,BU,Masters
1111,Other,Other,Bachelors
1112,CS,NYU,Masters
1113,AI,Other,Bachelors
1114,Other,Other,Masters
1115,Other,Other,Masters
1116,Other,Other,Bachelors
1117,Other,Other,Masters
1118,CS,NYU,Masters
1119,Other,NYU,Masters
1120,Biology,NYU,Bachelors
1121,AI,Northeastern,Masters
1122,Other,Other,Masters
1123,CS,MIT,Bachelors
1124,Other,BU,Bachelors
1125,Other,NYU,Masters
1126,Biology,Other,Postdoc
1127,CS,NYU,PhD
1128,Other,Other,Bachelors
1129,Business,MIT,Masters
1130,Other,Other,Masters
1131,Other,Other,Masters
1132,Other,Northeastern,Masters
1133,Finance,MIT,Bachelors
1134,Mechanical Eng,NYU,Bachelors
1135,CS,NYU,Bachelors
1136,Other,Northeastern,Masters
1137,Data Science,Northeastern,Masters
1138,CS,MIT,Bachelors
1139,Other,Other,Bachelors
1140,Data Science,MIT,Masters
1141,CS,Northeastern,Masters
1142,Other,Other,Bachelors
1143,Business,MIT,MBA
1144,CS,MIT,Bachelors
1145,CS,Northeastern,Masters
1146,Business,Tufts,Masters
1147,Other,MIT,Masters
1148,Other,Dartmouth,Masters
1149,Biology,Northeastern,Bachelors
1150,Biology,Other,Masters
1151,Chemistry,Northeastern,Bachelors
1152,Other,Other,Masters
1153,AI,MIT,Masters
1154,Other,Other,Postdoc
1155,CS,MIT,Masters
1156,Policital Sci,Other,Other
1157,Business,MIT,Other
1158,Other,Other,Masters
1159,Other,Other,Bachelors
1160,Other,Other,Masters
1161,CS,MIT,PhD
1162,Materials,MIT,Masters
1163,Other,MIT,PhD
1164,Data Science,MIT,Bachelors
1165,Physics,Northeastern,PhD
1166,CS,Northeastern,Masters
1167,Aero,MIT,Masters
1168,Business,Other,Other
1169,AI,Other,Bachelors
1170,CS,MIT,Other
1171,Data Science,BU,Masters
1172,Other,Other,Postdoc
1173,Mechanical Eng,Other,Bachelors
1174,Other,MIT,Bachelors
1175,CS,Northeastern,Masters
1176,Other,Other,Bachelors
1177,Other,Other,Postdoc
1178,CS,MIT,Bachelors
1179,Biology,MIT,Bachelors
1180,CS,MIT,Bachelors
1181,AI,MIT,Bachelors
1182,CS,Northeastern,Masters
1183,CS,MIT,Bachelors
1184,CS,MIT,Bachelors
1185,CS,Northeastern,Masters
1186,Business,Boston College,MBA
1187,Business,MIT,MBA
1188,Mechanical Eng,MIT,Postdoc
1189,Other,Other,Bachelors
1190,Data Science,MIT,Masters
1191,Data Science,MIT,Masters
1192,Other,Other,Bachelors
1193,AI,MIT,Bachelors
1194,Biology,Other,Postdoc
1195,Other,MIT,Masters
1196,AI,MIT,Masters
1197,Biology,MIT,Postdoc
1198,Other,Northeastern,MBA
1199,Other,MIT,Bachelors
1200,Other,MIT,Masters
1201,Mechanical Eng,MIT,Bachelors
1202,Biology,MIT,Postdoc
1203,Other,Northeastern,Bachelors
1204,CS,MIT,Bachelors
1205,AI,MIT,Bachelors
1206,Physics,MIT,Bachelors
1207,CS,Northeastern,Masters
1208,AI,MIT,Other
1209,Other,Other,Masters
1210,Other,Other,Postdoc
1211,Physics,MIT,Postdoc
1212,CS,Other,Bachelors
1213,Other,MIT,Masters
1214,Other,Boston College,Postdoc
1215,CS,MIT,Masters
1216,CS,MIT,Bachelors
1217,CS,MIT,Bachelors
1218,Other,MIT,Masters
1219,Industrial Eng,MIT,Postdoc
1220,Other,MIT,Masters
1221,Chemistry,Northeastern,Bachelors
1222,Other,Tufts,Masters
1223,Other,MIT,Postdoc
1224,Mechanical Eng,Other,Postdoc
1225,CS,MIT,Bachelors
1226,Other,Other,Bachelors
1227,Other,Other,Bachelors
1228,Mechanical Eng,MIT,Bachelors
1229,CS,Other,Bachelors
1230,Biology,Other,PhD
1231,CS,Other,Masters
1232,AI,Other,Masters
1233,Biology,Northeastern,Masters
1234,CS,MIT,Bachelors
1235,CS,Northeastern,Masters
1236,CS,MIT,Bachelors
1237,Biology,MIT,Bachelors
1238,AI,Other,Bachelors
1239,Chemistry,MIT,Bachelors
1240,Other,Other,Bachelors
1241,Other,Other,Bachelors
1242,Finance,Tufts,Bachelors
1243,Business,MIT,Masters
1244,Other,Tufts,Bachelors
1245,CS,Northeastern,Masters
1246,Other,MIT,Bachelors
1247,Industrial Eng,Other,Masters
1248,Business,Other,Masters
1249,Biology,Other,Bachelors
1250,Business,MIT,Masters
1251,Other,MIT,Masters
1252,Other,MIT,PhD
1253,Other,Other,Bachelors
1254,Other,BU,Masters
1255,Other,Other,Bachelors
1256,CS,MIT,Bachelors
1257,Biology,Northeastern,Bachelors
1258,AI,MIT,Other
1259,Chemistry,Other,Postdoc
1260,Other,Tufts,Bachelors
1261,Other,MIT,PhD
1262,Industrial Eng,Northeastern,Masters
1263,Physics,Other,Bachelors
1264,AI,MIT,Bachelors
1265,Biology,MIT,Bachelors
1266,Other,MIT,Postdoc
1267,Other,MIT,Bachelors
1268,Data Science,Other,Masters
1269,CS,MIT,PhD
1270,Data Science,Northeastern,Masters
1271,Other,Northeastern,Masters
1272,Business,Northeastern,Masters
1273,AI,MIT,Bachelors
1274,Other,MIT,Bachelors
1275,Other,MIT,Other
1276,Business,MIT,Bachelors
1277,CS,MIT,Bachelors
1278,CS,MIT,Bachelors
1279,CS,MIT,Bachelors
1280,Business,MIT,Bachelors
1281,CS,MIT,Bachelors
1282,Other,MIT,Masters
1283,Other,MIT,Masters
1284,CS,MIT,Bachelors
1285,Chemistry,MIT,Bachelors
1286,CS,Northeastern,Masters
1287,Business,MIT,Bachelors
1288,Other,MIT,PhD
1289,Biology,BU,Bachelors
1290,Mechanical Eng,MIT,Masters
1291,Other,Other,Bachelors
1292,AI,MIT,Bachelors
1293,Business,Northeastern,Bachelors
1294,Physics,MIT,Bachelors
1295,Business,MIT,Masters
1296,Business,MIT,Bachelors
1297,Civil Eng,MIT,Masters
1298,CS,MIT,Bachelors
1299,CS,MIT,Bachelors
1300,Business,MIT,Masters
1301,Chemistry,MIT,PhD
1302,Data Science,MIT,Bachelors
1303,Data Science,MIT,Bachelors
1304,Industrial Eng,Other,Masters
1305,Other,BU,Bachelors
1306,Biology,MIT,PhD
1307,Other,MIT,Masters
1308,Other,Other,Bachelors
1309,Mechanical Eng,Other,Bachelors
1310,Policital Sci,Other,Masters
1311,Other,Other,PhD
1312,Business,MIT,Masters
1313,Biology,Dartmouth,Bachelors
1314,Business,Other,Bachelors
1315,Business,MIT,MBA
1316,Other,MIT,Masters
1317,Biology,MIT,Masters
1318,Finance,Other,Bachelors
1319,AI,MIT,PhD
1320,Other,Other,Masters
1321,Business,Other,Bachelors
1322,Other,MIT,Masters
1323,Data Science,Northeastern,Masters
1324,Business,BU,MBA
1325,Other,Other,Masters
1326,Data Science,Other,Masters
1327,Other,Other,Masters
1328,CS,Other,Bachelors
1329,Finance,Dartmouth,Bachelors
1330,Business,BU,Masters
1331,CS,Northeastern,Masters
1332,Other,Other,Masters
1333,CS,Northeastern,Masters
1334,CS,BU,Masters
1335,Business,Northeastern,Bachelors
1336,AI,Northeastern,Bachelors
1337,Other,Other,Bachelors
1338,Business,Boston College,Bachelors
1339,Physics,Other,Bachelors
1340,Other,Other,Bachelors
1341,Biology,MIT,Postdoc
1342,Policital Sci,MIT,Bachelors
1343,CS,Other,Bachelors
1344,Industrial Eng,Northeastern,Masters
1345,CS,Other,Bachelors
1346,Other,Northeastern,Bachelors
1347,Mechanical Eng,Other,Bachelors
1348,CS,Other,Other
1349,Other,Other,Bachelors
1350,AI,Other,Postdoc
1351,CS,Other,Bachelors
1352,CS,Other,Bachelors
1353,Business,MIT,MBA
1354,Physics,MIT,Bachelors
1355,Electrical Eng,Northeastern,Bachelors
1356,CS,UMass Amherst,Bachelors
1357,Other,MIT,MBA
1358,Data Science,Northeastern,Bachelors
1359,Data Science,Northeastern,Masters
1360,Other,Dartmouth,Masters
1361,Other,Other,MD
1362,AI,Northeastern,Bachelors
1363,Other,Other,Masters
1364,Physics,Other,Other
1365,Biology,Northeastern,Masters
1366,Data Science,Northeastern,Masters
1367,Other,MIT,Bachelors
1368,Other,MIT,Bachelors
1369,CS,Brandeis,Other
1370,Other,Other,Bachelors
1371,Data Science,Other,Bachelors
1372,Biology,Northeastern,Masters
1373,CS,Northeastern,Masters
1374,CS,Northeastern,Masters
1375,Other,Other,Bachelors
1376,AI,MIT,Bachelors
1377,CS,MIT,Bachelors
1378,Business,Other,Masters
1379,Other,MIT,Masters
1380,Business,Other,Bachelors
1381,Mechanical Eng,Other,Bachelors
1382,CS,Tufts,Bachelors
1383,CS,BU,Bachelors
1384,CS,Northeastern,Masters
1385,Mechanical Eng,MIT,PhD
1386,Other,Other,Bachelors
1387,CS,Northeastern,Masters
1388,Other,Northeastern,Masters
1389,Chemistry,Tufts,Bachelors
1390,Other,Other,Bachelors
1391,Other,BU,Bachelors
1392,Physics,MIT,Postdoc
1393,CS,Northeastern,Masters
1394,CS,Northeastern,Masters
1395,CS,Northeastern,Masters
1396,Data Science,Northeastern,Masters
1397,CS,Northeastern,Masters
1398,Biology,Northeastern,Bachelors
1399,Other,Other,Bachelors
1400,Policital Sci,Other,Bachelors
1401,Data Science,Other,Masters
1402,AI,NYU,Masters
1403,Aero,MIT,Bachelors
1404,Chemistry,Other,Bachelors
1405,Data Science,Other,Masters
1406,Data Science,Northeastern,Masters
1407,Other,BU,Masters
1408,Other,BU,Masters
1409,Data Science,Northeastern,Masters
1410,Biology,Other,Postdoc
1411,CS,Northeastern,Bachelors
1412,CS,Northeastern,Masters
1413,CS,Northeastern,Masters
1414,Other,Other,Bachelors
1415,Business,Other,MBA
1416,Biology,Northeastern,Masters
1417,Physics,Other,Bachelors
1418,AI,Other,Bachelors
1419,CS,Northeastern,Masters
1420,Other,BU,Masters
1421,Other,Northeastern,Masters
1422,Other,Other,Masters
1423,Other,BU,Bachelors
1424,Mechanical Eng,Other,Bachelors
1425,Other,Northeastern,Masters
1426,CS,Northeastern,Masters
1427,CS,Northeastern,Masters
1428,CS,Northeastern,Masters
1429,Biology,Other,PhD
1430,CS,MIT,Bachelors
1431,Biology,Other,Other
1432,Business,MIT,MBA
1433,CS,MIT,Bachelors
1434,Biology,MIT,Bachelors
1435,Electrical Eng,MIT,PhD
1436,AI,MIT,Bachelors
1437,Biology,Northeastern,Masters
1438,Aero,MIT,Masters
1439,AI,MIT,Bachelors
1440,AI,MIT,Bachelors
1441,AI,MIT,Bachelors
1442,Aero,MIT,Postdoc
1443,Other,MIT,Bachelors
1444,Mechanical Eng,MIT,Bachelors
1445,CS,MIT,Bachelors
1446,CS,MIT,Bachelors
1447,CS,MIT,Bachelors
1448,Other,MIT,Bachelors
1449,CS,MIT,Bachelors
1450,Mechanical Eng,MIT,Bachelors
1451,Aero,MIT,Bachelors
1452,Mechanical Eng,MIT,Bachelors
1453,CS,MIT,Masters
1454,Chemistry,MIT,Bachelors
1455,Other,Northeastern,Masters
1456,Industrial Eng,Northeastern,Masters
1457,Data Science,Northeastern,Masters
1458,Business,Northeastern,Bachelors
1459,Other,Other,Bachelors
1460,Chemistry,MIT,Postdoc
1461,Business,Hult Business,Masters
1462,Civil Eng,Tufts,PhD
1463,CS,Other,Bachelors
1464,Finance,Other,Masters
1465,Other,Other,Postdoc
1466,AI,Northeastern,Masters
1467,Other,Other,Bachelors
1468,Aero,MIT,PhD
1469,Business,Northeastern,Bachelors
1470,Business,MIT,Bachelors
1471,Business,Northeastern,Bachelors
1472,AI,Other,Masters
1473,Other,MIT,Bachelors
1474,Other,Tufts,Bachelors
1475,Other,Northeastern,Masters
1476,CS,MIT,Masters
1477,Data Science,Hult Business,Bachelors
1478,Business,Other,Masters
1479,Civil Eng,Other,Postdoc
1480,Other,Other,Bachelors
1481,Data Science,Northeastern,Masters
1482,Other,Other,Bachelors
1483,Other,NYU,Bachelors
1484,CS,Northeastern,Masters
1485,Other,Other,Bachelors
1486,Other,MIT,Masters
1487,Data Science,Northeastern,Masters
1488,Other,Other,Bachelors
1489,AI,MIT,Bachelors
1490,Civil Eng,MIT,Bachelors
1491,Data Science,Northeastern,Masters
1492,Business,BU,Masters
1493,Other,Tufts,Masters
1494,Other,MIT,Masters
1495,CS,Northeastern,Masters
1496,Data Science,Northeastern,Masters
1497,Other,Other,Masters
1498,Other,Other,Bachelors
1499,CS,Other,Bachelors
1500,Biology,Other,Bachelors
1501,Mechanical Eng,MIT,Masters
1502,CS,BU,Masters
1503,CS,Northeastern,PhD
1504,Physics,Other,Postdoc
1505,Chemistry,Tufts,Masters
1506,Other,Tufts,Masters
1507,CS,Tufts,PhD
1508,CS,BU,Bachelors
1509,CS,Northeastern,Masters
1510,CS,Northeastern,Masters
1511,Industrial Eng,Northeastern,Masters
1512,Chemistry,MIT,Bachelors
1513,Chemistry,MIT,Bachelors
1514,Other,Other,Postdoc
1515,Data Science,Other,Masters
1516,AI,Other,Masters
1517,Business,MIT,Masters
1518,Other,Other,Bachelors
1519,Data Science,Other,Masters
1520,Policital Sci,Other,Bachelors
1521,CS,NYU,Masters
1522,CS,BU,Masters
1523,Business,BU,Bachelors
1524,Mechanical Eng,NYU,Masters
1525,Data Science,Northeastern,Masters
1526,Mechanical Eng,NYU,Masters
1527,Other,Northeastern,Masters
1528,Other,Other,Postdoc
1529,Biology,Other,Masters
1530,Other,Other,Masters
1531,CS,Northeastern,Masters
1532,Other,BU,PhD
1533,Chemistry,MIT,Postdoc
1534,CS,MIT,Bachelors
1535,Biology,Other,Masters
1536,Business,Northeastern,Masters
1537,Business,Other,Bachelors
1538,Data Science,Other,Bachelors
1539,CS,Northeastern,Masters
1540,Other,Northeastern,Bachelors
1541,CS,Northeastern,Masters
1542,Other,Other,Postdoc
1543,Business,MIT,Masters
1544,Business,Other,Masters
1545,Other,Other,Masters
1546,CS,Northeastern,Masters
1547,Data Science,Northeastern,Bachelors
1548,Other,Northeastern,Masters
1549,Other,MIT,PhD
1550,Biology,Other,Bachelors
1551,Mechanical Eng,Other,Masters
1552,Other,Northeastern,Masters
1553,Other,BU,Masters
1554,Business,MIT,MBA
1555,Business,MIT,MBA
1556,CS,Northeastern,Masters
1557,AI,MIT,Bachelors
1558,Other,Northeastern,Masters
1559,CS,NYU,Masters
1560,Data Science,Northeastern,Masters
1561,CS,Northeastern,Masters
1562,Other,Northeastern,Masters
1563,Data Science,Northeastern,Masters
1564,Business,BU,Masters
1565,Other,MIT,Postdoc
1566,Aero,MIT,Bachelors
1567,Other,BU,Masters
1568,CS,Northeastern,Masters
1569,Chemistry,NYU,Bachelors
1570,Other,Northeastern,Masters
1571,CS,Northeastern,Masters
1572,Other,MIT,PhD
1573,CS,NYU,Masters
1574,Business,MIT,MBA
1575,Other,Other,Bachelors
1576,CS,Northeastern,Masters
1577,Biology,Northeastern,Masters
1578,CS,Other,Bachelors
1579,Business,MIT,Masters
1580,CS,Other,Bachelors
1581,Finance,Other,Masters
1582,CS,Other,Masters
1583,Data Science,Northeastern,Masters
1584,Other,Other,Bachelors
1585,Business,Northeastern,Bachelors
1586,Data Science,Northeastern,Masters
1587,Business,Other,Masters
1588,CS,Northeastern,Masters
1589,CS,Other,Bachelors
1590,Other,Other,Masters
1591,Other,Other,Other
1592,CS,Northeastern,Masters
1593,Data Science,Other,Masters
1594,CS,MIT,Masters
1595,Business,MIT,MBA
1596,Biology,Other,Other
1597,Mechanical Eng,MIT,PhD
1598,CS,Northeastern,Masters
1599,Business,Hult Business,Masters
1600,Policital Sci,Other,Bachelors
1601,Biology,Other,Bachelors
1602,Data Science,Other,Masters
1603,Business,Other,MBA
1604,Business,UMass Boston,Masters
1605,Data Science,Northeastern,Masters
1606,CS,BU,Masters
1607,Other,Northeastern,Masters
1608,Other,Other,MD
1609,Other,Northeastern,Bachelors
1610,Business,MIT,MBA
1611,Data Science,Northeastern,Masters
1612,CS,Northeastern,Masters
1613,CS,Northeastern,Masters
1614,CS,BU,Masters
1615,Data Science,Northeastern,Masters
1616,CS,Other,Bachelors
1617,Electrical Eng,Other,Bachelors
1618,Other,Other,Masters
1619,CS,Northeastern,Masters
1620,CS,Other,Bachelors
1621,Data Science,Hult Business,Masters
1622,Mechanical Eng,Northeastern,Masters
1623,CS,Northeastern,Masters
